Aver_delta,L
-0.906122449,2.224489796
-0.979591837,2.224489796
-1.053061224,2.224489796
-1.126530612,2.224489796
-1.2,2.224489796
2.4,2.306122449
2.326530612,2.306122449
2.253061224,2.306122449
2.179591837,2.306122449
2.106122449,2.306122449
2.032653061,2.306122449
1.959183673,2.306122449
1.885714286,2.306122449
1.812244898,2.306122449
1.73877551,2.306122449
1.665306122,2.306122449
1.591836735,2.306122449
1.518367347,2.306122449
1.444897959,2.306122449
1.371428571,2.306122449
1.297959184,2.306122449
1.224489796,2.306122449
1.151020408,2.306122449
1.07755102,2.306122449
1.004081633,2.306122449
0.930612245,2.306122449
0.857142857,2.306122449
0.783673469,2.306122449
0.710204082,2.306122449
0.636734694,2.306122449
0.563265306,2.306122449
0.489795918,2.306122449
0.416326531,2.306122449
0.342857143,2.306122449
0.269387755,2.306122449
0.195918367,2.306122449
0.12244898,2.306122449
0.048979592,2.306122449
-0.024489796,2.306122449
-0.097959184,2.306122449
-0.171428571,2.306122449
-0.244897959,2.306122449
-0.318367347,2.306122449
-0.391836735,2.306122449
-0.465306122,2.306122449
-0.53877551,2.306122449
