R,L
1118.979592,1.734693878
1161.632653,1.734693878
1204.285714,1.734693878
1246.938775,1.734693878
1289.591837,1.734693878
1332.244898,1.734693878
1374.897959,1.734693878
1417.55102,1.734693878
1460.204081,1.734693878
1502.857143,1.734693878
1545.510204,1.734693878
1588.163265,1.734693878
1630.816326,1.734693878
1673.469388,1.734693878
1716.122449,1.734693878
1758.77551,1.734693878
1801.428571,1.734693878
1844.081632,1.734693878
1886.734694,1.734693878
1929.387755,1.734693878
1972.040816,1.734693878
2014.693877,1.734693878
2057.346939,1.734693878
2100,1.734693878
10,1.816326531
52.65306122,1.816326531
95.30612244,1.816326531
137.9591837,1.816326531
180.6122449,1.816326531
223.2653061,1.816326531
265.9183673,1.816326531
308.5714285,1.816326531
351.2244898,1.816326531
393.877551,1.816326531
436.5306122,1.816326531
479.1836734,1.816326531
521.8367346,1.816326531
564.4897959,1.816326531
607.1428571,1.816326531
649.7959183,1.816326531
692.4489795,1.816326531
735.1020407,1.816326531
777.755102,1.816326531
820.4081632,1.816326531
863.0612244,1.816326531
905.7142856,1.816326531
948.3673468,1.816326531
991.0204081,1.816326531
1033.673469,1.816326531
1076.326531,1.816326531
1118.979592,1.816326531
1161.632653,1.816326531
1204.285714,1.816326531
1246.938775,1.816326531
1289.591837,1.816326531
1332.244898,1.816326531
1374.897959,1.816326531
1417.55102,1.816326531
1460.204081,1.816326531
1502.857143,1.816326531
1545.510204,1.816326531
1588.163265,1.816326531
1630.816326,1.816326531
1673.469388,1.816326531
1716.122449,1.816326531
1758.77551,1.816326531
1801.428571,1.816326531
1844.081632,1.816326531
1886.734694,1.816326531
1929.387755,1.816326531
1972.040816,1.816326531
2014.693877,1.816326531
2057.346939,1.816326531
2100,1.816326531
10,1.897959184
52.65306122,1.897959184
95.30612244,1.897959184
137.9591837,1.897959184
180.6122449,1.897959184
223.2653061,1.897959184
265.9183673,1.897959184
308.5714285,1.897959184
351.2244898,1.897959184
393.877551,1.897959184
436.5306122,1.897959184
479.1836734,1.897959184
521.8367346,1.897959184
564.4897959,1.897959184
607.1428571,1.897959184
649.7959183,1.897959184
692.4489795,1.897959184
735.1020407,1.897959184
777.755102,1.897959184
820.4081632,1.897959184
863.0612244,1.897959184
905.7142856,1.897959184
948.3673468,1.897959184
991.0204081,1.897959184
1033.673469,1.897959184
1076.326531,1.897959184
1118.979592,1.897959184
1161.632653,1.897959184
1204.285714,1.897959184
1246.938775,1.897959184
1289.591837,1.897959184
1332.244898,1.897959184
1374.897959,1.897959184
1417.55102,1.897959184
1460.204081,1.897959184
1502.857143,1.897959184
1545.510204,1.897959184
1588.163265,1.897959184
1630.816326,1.897959184
1673.469388,1.897959184
1716.122449,1.897959184
1758.77551,1.897959184
1801.428571,1.897959184
1844.081632,1.897959184
1886.734694,1.897959184
1929.387755,1.897959184
1972.040816,1.897959184
